date,GBX,USD
2016-02-15,214.2,3.109097822790951
2016-02-16,215.14,3.1069112613335474
2016-02-17,218.4,3.1259838355917435
2016-02-18,219.22,3.135766868029275
2016-02-19,219.65,3.146850651620313
2016-02-22,223.19,3.1867483072500797
2016-02-23,223.59,3.157423108968637
2016-02-24,224.29,3.135446811566736
2016-02-25,226.03,3.149972348704611
2016-02-26,228.44,3.1957440254784726
2016-02-29,228.03,3.1603062219046762
2016-03-01,227.31,3.1678634651619433
2016-03-02,228.74,3.1925540697097747
2016-03-03,227.71,3.207528443429026
2016-03-04,227.73,3.226526876607453
2016-03-07,227.37,3.2306779147702938
2016-03-08,225.6,3.2161764319155295
2016-03-09,225.84,3.204938423542714
2016-03-10,227.32,3.2277689614796885
2016-03-11,226.41,3.232062193859605
2016-03-14,228.18,3.2842267702588464
2016-03-15,230.23,3.2873595433789955
2016-03-16,230.92,3.264016996633536
2016-03-17,227.8,3.2518208955223886
2016-03-18,227.95,3.298991884031255
2016-03-21,229.0,3.3094179964448442
2016-03-22,229.87,3.3051058274629916
2016-03-23,231.95,3.2956077841267257
2016-03-24,232.22,3.2737884682491374
2016-03-29,230.57,3.283476700982734
2016-03-30,232.43,3.3396974290217587
2016-03-31,232.64,3.3386483798905577
2016-04-01,232.49,3.336279992789823
2016-04-04,236.46,3.367062898257076
2016-04-05,235.47,3.3620706487709615
2016-04-06,236.29,3.3450059728197914
2016-04-07,238.29,3.366095787380782
2016-04-08,237.19,3.3370351958775686
2016-04-11,235.94,3.3316055885776037
2016-04-12,233.83,3.3291433163566957
2016-04-13,236.23,3.3714478358989224
2016-04-14,238.43,3.37477700251786
2016-04-15,237.1,3.3558843871495805
2016-04-18,237.85,3.3707222750997854
2016-04-19,238.16,3.4074688115709777
2016-04-20,237.79,3.4202231959399634
2016-04-21,235.58,3.3781233185547572
2016-04-22,233.72,3.3529938573490257
2016-04-25,232.05,3.3499864795039613
2016-04-26,230.69,3.34676782533638
2016-04-27,229.63,3.3472785519653496
2016-04-28,230.53,3.3494670883756905
2016-04-29,229.88,3.3670286834595875
2016-05-03,230.19,3.3763905823782605
2016-05-04,231.4,3.3617292421763345
2016-05-05,231.86,3.3684120228651904
2016-05-06,231.35,3.3496805985552114
2016-05-09,234.28,3.379991001303568
2016-05-10,235.31,3.3906976004566673
2016-05-11,237.07,3.4262882600475693
2016-05-12,236.01,3.4083780909934625
2016-05-13,235.67,3.400658637345616
2016-05-16,235.38,3.3964740105164464
2016-05-17,235.46,3.4051897249600285
2016-05-18,232.26,3.3538154786150707
2016-05-19,229.03,3.3388345697329376
2016-05-20,230.04,3.357778374004855
2016-05-23,231.55,3.358780576438598
2016-05-24,230.67,3.3413751455883967
2016-05-25,232.46,3.3973033133581283
2016-05-26,232.51,3.420856826977889
2016-05-27,233.01,3.4189502956566984
2016-05-31,234.16,3.4399639643954805
2016-06-01,235.37,3.408457199291514
2016-06-02,236.21,3.4071389718259057
2016-06-03,237.37,3.4204160751231902
2016-06-06,238.53,3.4317166087335447
2016-06-07,236.9,3.4244993527738985
2016-06-08,236.57,3.4409939055300716
2016-06-09,238.14,3.4532982144702307
2016-06-10,238.33,3.446066454234784
2016-06-13,239.8,3.402484753938523
2016-06-14,237.23,3.3700710090554944
2016-06-15,237.69,3.359970080414086
2016-06-16,237.09,3.363003650514222
2016-06-17,236.71,3.3717352137505507
2016-06-20,233.65,3.4030775793548393
2016-06-21,233.52,3.423936358584923
2016-06-22,235.56,3.4588311392040194
2016-06-23,234.23,3.4708385574244143
2016-06-24,248.67,3.5838366158711903
2016-06-28,248.63,3.3067402215965487
2016-06-29,250.52,3.335659320973957
2016-06-30,253.52,3.3993749272550917
2016-07-01,260.17,3.4687750405613693
2016-07-04,260.59,3.4621553127477482
2016-07-05,261.76,3.4680560322698932
2016-07-06,264.49,3.410399267907411
2016-07-07,264.4,3.4220811545956478
2016-07-08,265.06,3.4358695601125526
2016-07-11,268.48,3.476067043519443
2016-07-12,265.78,3.4748021251951453
2016-07-13,263.83,3.508377940719816
2016-07-14,264.06,3.4738945119987115
2016-07-15,263.32,3.531944320703708
2016-07-18,265.89,3.524681771677726
2016-07-19,267.02,3.528829987313988
2016-07-20,267.97,3.5087383243151002
2016-07-21,267.96,3.5477088020247463
2016-07-22,269.21,3.5633209327559703
2016-07-25,268.54,3.524409367803433
2016-07-26,269.02,3.5260993935012253
2016-07-27,269.7,3.5426665269837465
2016-07-28,267.84,3.541304682465596
2016-07-29,267.1,3.520955649195138
2016-08-01,268.42,3.538356103919726
2016-08-02,268.52,3.5399175134195593
2016-08-03,266.02,3.5449422065005645
2016-08-04,266.53,3.5548821383481304
2016-08-05,270.26,3.5478316302691724
2016-08-08,272.26,3.5635336277373004
2016-08-09,274.14,3.5622690035637348
2016-08-10,273.93,3.580164316966948
2016-08-11,276.6,3.600544025508494
2016-08-12,277.45,3.600387585289578
2016-08-15,278.14,3.599440559767
2016-08-16,276.94,3.5671803281356484
2016-08-17,274.94,3.589614782546009
2016-08-18,273.16,3.572824934754129
2016-08-19,273.93,3.6000525291465877
2016-08-22,273.62,3.57308314759222
2016-08-23,272.72,3.5837330863740195
